district_id,state,locale,pct_black/hispanic,pct_free/reduced,county_connections_ratio,pp_total_raw
9007,Arizona,City,"[0.8, 1[",,"[0.18, 1[",
2074,California,Suburb,"[0.4, 0.6[","[0.2, 0.4[","[0.18, 1[",
5604,California,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3412,California,City,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[",
2321,California,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
2106,California,Suburb,"[0.2, 0.4[","[0, 0.2[","[0.18, 1[",
4550,California,City,"[0.8, 1[","[0.6, 0.8[","[0.18, 1[",
1570,California,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
2172,California,City,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3322,California,City,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
9357,California,City,"[0.4, 0.6[","[0.2, 0.4[","[0.18, 1[",
7975,California,City,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[",
7164,California,City,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[",
1904,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
8539,Connecticut,Suburb,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[",
4602,Connecticut,Suburb,"[0.6, 0.8[","[0.2, 0.4[","[0.18, 1[",
4520,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
7785,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
9589,Connecticut,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
1142,Connecticut,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
1444,Connecticut,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[",
4569,Connecticut,City,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[",
6250,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
1558,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
9140,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[",,
4031,Connecticut,Suburb,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[",
6194,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
1000,Connecticut,Suburb,"[0.6, 0.8[","[0.2, 0.4[","[0.18, 1[",
4516,Connecticut,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[",
5802,Connecticut,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[",
2729,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
1450,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6055,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6998,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
4083,Connecticut,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
3936,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[",,
8076,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
8127,Connecticut,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
3640,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3314,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6046,Connecticut,Rural,"[0, 0.2[","[0, 0.2[",,
5934,Connecticut,Rural,"[0, 0.2[","[0, 0.2[",,
2201,Connecticut,City,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[",
7964,District Of Columbia,City,"[0.8, 1[",,"[0.18, 1[","[18000, 20000["
6418,District Of Columbia,City,"[0.4, 0.6[",,"[0.18, 1[","[18000, 20000["
5479,District Of Columbia,City,"[0.8, 1[",,"[0.18, 1[","[18000, 20000["
6919,Florida,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[6000, 8000["
8815,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
1877,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[12000, 14000["
2779,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
9043,Illinois,Suburb,"[0.8, 1[","[0.8, 1[","[0.18, 1[","[12000, 14000["
6577,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
8784,Illinois,Suburb,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[","[10000, 12000["
2601,Illinois,Suburb,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
9899,Illinois,Suburb,"[0.2, 0.4[","[0, 0.2[","[0.18, 1[","[12000, 14000["
4629,Illinois,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[16000, 18000["
1712,Illinois,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
5042,Illinois,Town,"[0.2, 0.4[","[0.8, 1[","[0.18, 1[","[10000, 12000["
5890,Illinois,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[18000, 20000["
9553,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
8937,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[12000, 14000["
